Gene stable ID,KEGG Pathway and Enzyme ID,NCBI gene ID
Os01g0760600,00710+2.6.1.1,4325621
Os01g0760600,00360+2.6.1.1,4325621
Os01g0760600,00401+2.6.1.1,4325621
Os01g0760600,00960+2.6.1.1,4325621
Os01g0762000,,
Os01g0762000,,
Os01g0786800,,
Os01g0795100,,
Os01g0803200,,4327535
Os01g0803200,,4327535
Os01g0805400,,4327545
Os01g0814400,,
Os01g0814400,,
Os01g0814400,,
Os01g0814800,00920+2.5.1.47,4327479
Os01g0814800,00270+2.5.1.47,4327479
Os01g0816100,,4327485
Os01g0823100,,4327568
Os01g0824700,,4327578
Os01g0826900,,
Os01g0830900,,107277512
Os01g0835600,,4327454
Os01g0835600,,4327454
Os01g0835600,,4327454
Os01g0835600,,4327454
Os01g0846300,04658+3.1.3.16,4327465
Os01g0846300,04660+3.1.3.16,4327465
Os01g0846300,04658+3.1.3.16,4327465
Os01g0846300,04660+3.1.3.16,4327465
Os01g0862600,,4324748
Os01g0863300,,
Os01g0873900,,
Os01g0874900,00670+2.1.2.1,4324773
Os01g0874900,00630+2.1.2.1,4324773
Os01g0874900,00680+2.1.2.1,4324773
Os01g0874900,00460+2.1.2.1,4324773
Os01g0874900,00260+2.1.2.1,4324773
Os01g0908200,,4324985
Os01g0908700,,
Os01g0910900,,4324873
Os01g0912700,,4324318
Os01g0914100,,4324342
Os01g0914300,,4324344
Os01g0915600,,4324327
Os01g0923900,,4327256
Os01g0926300,00030+2.2.1.2,4327239
Os01g0930200,,4326943
Os01g0931200,,4326816
Os01g0934200,,
Os01g0936200,,
Os01g0937100,,4326530
Os01g0952500,,4325747
Os01g0974200,,4326409
Os01g0974200,,4326409
Os01g0974200,,4326409
Os02g0100300,,4327973
Os02g0109400,,
Os02g0109501,,
Os02g0110200,,4328040
Os02g0110200,,4328040
Os02g0115900,,4328075
Os02g0115900,,4328075
Os02g0115900,,4328075
Os02g0116500,,4328079
Os02g0117100,,4328085
Os02g0117600,,4328090
Os02g0117600,,4328090
Os02g0118200,,4328095
Os02g0119200,,
Os02g0120000,,4328108
