Gene stable ID	NCBI gene ID	KEGG Pathway and Enzyme ID
Os01g0110400	4326136	
Os01g0120300		00970+6.1.1.4
Os01g0121300	4326042	
Os01g0128400	4325966	
Os01g0128400	4325966	
Os01g0135900	4325695	
Os01g0135900	4325695	
Os01g0151700	4324493	
Os01g0160100	4324066	
Os01g0179800	4325348	
Os01g0200700		
Os01g0207300	4327097	00270+2.5.1.6
Os01g0207600		
Os01g0235100	4327776	
Os01g0248300	4327212	
Os01g0248500	4327214	
Os01g0323600	4326996	00270+2.5.1.6
Os01g0327100	4326969	00940+1.11.1.7
Os01g0327100	4326969	00940+1.11.1.7
Os01g0361500		
Os01g0370600		
Os01g0370900		00983+2.5.1.18
Os01g0370900		00982+2.5.1.18
Os01g0370900		00980+2.5.1.18
Os01g0370900		00480+2.5.1.18
Os01g0371200	4325710	00983+2.5.1.18
Os01g0371200	4325710	00982+2.5.1.18
Os01g0371200	4325710	00980+2.5.1.18
Os01g0371200	4325710	00480+2.5.1.18
Os01g0382400	4325424	
Os01g0556700		
Os01g0585300	4327654	
Os01g0601675	9268844	
Os01g0628900	4326664	
Os01g0686000	4324107	
Os01g0692300		
Os01g0725800		
Os01g0727800		
Os01g0727840		
Os01g0735300	4324167	
Os01g0752200	4324637	
Os01g0759400	4325613	05170+2.7.11.1
Os01g0759400	4325613	05163+2.7.11.1
Os01g0759400	4325613	04150+2.7.11.1
Os01g0759400	4325613	04714+2.7.11.1
Os01g0759400	4325613	05165+2.7.11.1
Os01g0759400	4325613	04926+2.7.11.1
Os01g0759400	4325613	04151+2.7.11.1
Os01g0803200	4327535	
Os01g0803200	4327535	
Os01g0814800	4327479	00920+2.5.1.47
Os01g0814800	4327479	00270+2.5.1.47
Os01g0830900	107277512	
Os01g0846300	4327465	04658+3.1.3.16
Os01g0846300	4327465	04660+3.1.3.16
Os01g0846300	4327465	04658+3.1.3.16
Os01g0846300	4327465	04660+3.1.3.16
Os01g0863300		
Os01g0869200	4324927	
Os01g0876400	4325081	
Os01g0876400	4325081	
Os01g0876400	4325081	
Os01g0876400	4325081	
Os01g0908200	4324985	
Os01g0910900	4324873	
Os01g0914100	4324342	
Os01g0914300	4324344	
Os01g0920100	4327740	
Os01g0923900	4327256	
Os01g0931300	4326817	
Os01g0931300	4326817	
Os01g0934200		
Os01g0941200	4326520	00500+3.2.1.39
Os01g0944700		00500+3.2.1.39
Os02g0106100	4328018	00052+3.2.1.26
Os02g0106100	4328018	00500+3.2.1.26
Os02g0114400		
Os02g0115700	4328073	00630+1.11.1.6
Os02g0115700	4328073	00380+1.11.1.6
Os02g0115700	4328073	00630+1.11.1.6
Os02g0115700	4328073	00380+1.11.1.6
Os02g0115700	4328073	00630+1.11.1.6
Os02g0115700	4328073	00380+1.11.1.6
Os02g0117600	4328090	
Os02g0117600	4328090	
Os02g0148000	4328296	
Os02g0169900	4328439	04070+3.1.3.25
Os02g0169900	4328439	00562+3.1.3.25
Os02g0169900	4328439	00521+3.1.3.25
Os02g0169900	4328439	04070+3.1.3.25
Os02g0169900	4328439	00562+3.1.3.25
Os02g0169900	4328439	00521+3.1.3.25
Os02g0169900	4328439	04070+3.1.3.25
Os02g0169900	4328439	00562+3.1.3.25
Os02g0169900	4328439	00521+3.1.3.25
Os02g0196800	4328618	00643+3.7.1.2
Os02g0196800	4328618	00350+3.7.1.2
Os02g0196800	4328618	00643+3.7.1.2
Os02g0196800	4328618	00350+3.7.1.2
Os02g0203000	4328662	
Os02g0215500		
Os02g0245000	4328860	
Os02g0245000	4328860	
Os02g0456800	4329283	
Os02g0571100	9266189	
Os02g0593500	4329844	
Os02g0593500	4329844	
Os02g0611800	4329959	
Os02g0669100	4330265	
Os02g0670400	4330271	
Os02g0673500	4330291	
Os02g0680700	9272080	
Os02g0692700	4330385	
Os02g0697600	4330409	
Os02g0697600	4330409	
Os02g0706400	4330464	
Os02g0766700	4330838	
Os02g0793900	4330991	
Os02g0807800	9266916	
Os02g0815200	4331127	
Os02g0822100	4331184	
Os02g0822100	4331184	
Os02g0823900	107277956	
Os03g0100200	107277382	00790+4.2.1.96
Os03g0122300	4331443	
Os03g0122300	4331443	
Os03g0128400	4331488	
Os03g0152000	4331647	
Os03g0156600		
Os03g0176700	9266492	
Os03g0192500	4331915	04658+3.1.3.16
Os03g0192500	4331915	04660+3.1.3.16
Os03g0215700	4332061	
Os03g0227700	4332134	
Os03g0283100	4332455	
Os03g0283100	4332455	
Os03g0314500		
Os03g0314500		
Os03g0319400	4332665	05170+2.7.11.1
Os03g0319400	4332665	05163+2.7.11.1
Os03g0319400	4332665	04150+2.7.11.1
Os03g0319400	4332665	04714+2.7.11.1
Os03g0319400	4332665	05165+2.7.11.1
Os03g0319400	4332665	04926+2.7.11.1
Os03g0319400	4332665	04151+2.7.11.1
Os03g0319400	4332665	05170+2.7.11.1
Os03g0319400	4332665	05163+2.7.11.1
Os03g0319400	4332665	04150+2.7.11.1
Os03g0319400	4332665	04714+2.7.11.1
Os03g0319400	4332665	05165+2.7.11.1
Os03g0319400	4332665	04926+2.7.11.1
Os03g0319400	4332665	04151+2.7.11.1
Os03g0319400	4332665	
Os03g0347900		
Os03g0347900		
Os03g0362200	4332894	
Os03g0363100	4332896	
Os03g0689100	4333768	04070+2.7.4.24+2.7.4.21
Os03g0689100	4333768	04070+2.7.4.24+2.7.4.21
Os03g0703300	4333844	
Os03g0703300	4333844	
Os03g0717000		
Os03g0717000		
Os03g0775000	4334283	
Os03g0815200	4334554	
Os03g0815200	4334554	
Os03g0815200	4334554	
Os03g0815200	4334554	00670+1.5.1.20
Os03g0815200	4334554	00720+1.5.1.20
Os04g0105300		
Os04g0105300		
Os04g0105700	4334910	
Os04g0111200		00230+2.7.7.4
Os04g0111200		00450+2.7.7.4
Os04g0111200		00920+2.7.7.4
Os04g0111200		00261+2.7.7.4
Os04g0111225		00230+2.7.7.4
Os04g0111225		00450+2.7.7.4
Os04g0111225		00920+2.7.7.4
Os04g0111225		00261+2.7.7.4
Os04g0117900	4334956	00970+6.3.5.7
Os04g0118100	4334958	00970+6.3.5.7
Os04g0119400	4334968	00620+1.2.4.1
Os04g0119400	4334968	00010+1.2.4.1
Os04g0119400	4334968	00020+1.2.4.1
Os04g0167800	4335054	
Os04g0179700	4335094	
Os04g0191600		
Os04g0191600		
Os04g0191600		
Os04g0191600		
Os04g0191800	4335126	
Os04g0193300		
Os04g0193300		
Os04g0194000	4335130	
Os04g0204000		
Os04g0206500	4335167	
Os04g0208400	4335171	
Os04g0209300	4335177	
Os04g0369066		
Os04g0429500		
Os04g0448900	4335984	00906+1.14.15.21
Os04g0448950		
Os04g0450500		
Os04g0460200		
Os04g0468600	4336108	
Os04g0468600	4336108	
Os04g0468600	4336108	
Os04g0468600	4336108	
Os04g0468600	4336108	
Os04g0581100	4336765	
Os04g0585000		
Os04g0652700	4337238	
Os04g0652700	4337238	
Os04g0663100	4337301	
Os04g0667600		
Os04g0683700	4337447	
Os04g0685200		
Os04g0689500		
Os04g0689500		
Os04g0691600		
Os04g0691600		
Os05g0149300		
Os05g0149400	4337818	
Os05g0231100		
Os05g0322900	4338413	
Os05g0322900	4338413	
Os05g0322900	4338413	
Os05g0361900	4338540	
Os05g0361900	4338540	
Os05g0361900	4338540	
Os05g0393700		
Os05g0406000		
Os05g0484800	4339136	
Os05g0490400	4339165	
Os05g0495900	4339201	00500+3.2.1.39
Os05g0515200	4339312	
Os05g0537100	4339451	
Os05g0537400		04658+3.1.3.16
Os05g0537400		04660+3.1.3.16
Os05g0551000		
Os06g0103200	4339843	
Os06g0125000	4339959	
Os06g0146100	4340110	
Os06g0162800	4340218	
Os06g0234200	4340590	
Os06g0234200	4340590	
Os06g0234200	4340590	
Os06g0247000		
Os06g0256300		
Os06g0267400		
Os06g0286500	4340777	
Os06g0286700		
Os06g0287000		
Os06g0287200		
Os06g0287500		
Os06g0287500		
Os06g0287700		
Os06g0287700		
Os06g0475400	4341034	
Os06g0501900		
Os06g0528600	4341195	00480+2.5.1.16
Os06g0528600	4341195	00330+2.5.1.16
Os06g0528600	4341195	00410+2.5.1.16
Os06g0528600	4341195	00270+2.5.1.16
Os06g0658900	4341727	
Os06g0696600	4341942	
Os06g0697000	4341944	
Os06g0697000	4341944	
Os06g0701100	4341966	
Os06g0701100	4341966	
Os06g0704700	4341998	
Os06g0708000	4342017	04150+2.7.11.24
Os06g0708000	4342017	04150+2.7.11.24
Os06g0708000	4342017	04150+2.7.11.24
Os06g0708000	4342017	04150+2.7.11.24
Os07g0107800	4342205	
Os07g0107800	4342205	
Os07g0115500		
Os07g0421866		
Os07g0435100	4343069	
Os07g0474600		
Os07g0477250		00270+2.5.1.6
Os07g0495000	4343286	
Os07g0517100	4343386	
Os07g0517100	4343386	
Os07g0517100	4343386	
Os07g0603300	4343837	
Os07g0614000	4343890	
Os07g0614000	4343890	
Os07g0637000	4344036	05170+2.7.11.1
Os07g0637000	4344036	05163+2.7.11.1
Os07g0637000	4344036	04150+2.7.11.1
Os07g0637000	4344036	04714+2.7.11.1
Os07g0637000	4344036	05165+2.7.11.1
Os07g0637000	4344036	04926+2.7.11.1
Os07g0637000	4344036	04151+2.7.11.1
Os07g0640200	4344059	00561+2.7.1.30
Os07g0665200		
