Gene stable ID	NCBI gene ID	KEGG Pathway and Enzyme ID
Os01g0100900	4326459	
Os01g0104200		
Os01g0106900	4326153	00900+1.1.1.267
Os01g0106900	4326153	00900+1.1.1.267
Os01g0108400		
Os01g0111100		
Os01g0112500	9266830	
Os01g0112500	9266830	
Os01g0112800		
Os01g0113350		
Os01g0113500		
Os01g0113650	9269575	
Os01g0113800	4326102	
Os01g0114400		
Os01g0114900		
Os01g0115200		00970+6.3.5.7
Os01g0115600	4326086	
Os01g0115700		
Os01g0116000		
Os01g0116200	4326092	
Os01g0116900		
Os01g0117100		
Os01g0117200		
Os01g0117300		
Os01g0117500		
Os01g0117700		
Os01g0118700	4326079	
Os01g0119000	4326082	
Os01g0119000	4326082	
Os01g0119100		
Os01g0121700	4326045	
Os01g0128000	4325992	
Os01g0128100	4325993	
Os01g0128200	4325994	
Os01g0128300	4325995	
Os01g0130000	4325974	
Os01g0130000	4325974	
Os01g0132800	4325801	
Os01g0134800		
Os01g0136400	4325700	05170+2.7.11.1
Os01g0136400	4325700	05163+2.7.11.1
Os01g0136400	4325700	04150+2.7.11.1
Os01g0136400	4325700	04714+2.7.11.1
Os01g0136400	4325700	05165+2.7.11.1
Os01g0136400	4325700	04926+2.7.11.1
Os01g0136400	4325700	04151+2.7.11.1
Os01g0136800	4325670	05170+2.7.11.1
Os01g0136800	4325670	05163+2.7.11.1
Os01g0136800	4325670	04150+2.7.11.1
Os01g0136800	4325670	04714+2.7.11.1
Os01g0136800	4325670	05165+2.7.11.1
Os01g0136800	4325670	04926+2.7.11.1
Os01g0136800	4325670	04151+2.7.11.1
Os01g0136900		05170+2.7.11.1
Os01g0136900		05163+2.7.11.1
Os01g0136900		04150+2.7.11.1
Os01g0136900		04714+2.7.11.1
Os01g0136900		05165+2.7.11.1
Os01g0136900		04926+2.7.11.1
Os01g0136900		04151+2.7.11.1
Os01g0137400		
Os01g0137950		
Os01g0138300	4325680	05170+2.7.11.1
Os01g0138300	4325680	05163+2.7.11.1
Os01g0138300	4325680	04150+2.7.11.1
Os01g0138300	4325680	04714+2.7.11.1
Os01g0138300	4325680	05165+2.7.11.1
Os01g0138300	4325680	04926+2.7.11.1
Os01g0138300	4325680	04151+2.7.11.1
Os01g0138300	4325680	05170+2.7.11.1
Os01g0138300	4325680	05163+2.7.11.1
Os01g0138300	4325680	04150+2.7.11.1
Os01g0138300	4325680	04714+2.7.11.1
Os01g0138300	4325680	05165+2.7.11.1
Os01g0138300	4325680	04926+2.7.11.1
Os01g0138300	4325680	04151+2.7.11.1
Os01g0138400	4325681	05170+2.7.11.1
Os01g0138400	4325681	05163+2.7.11.1
Os01g0138400	4325681	04150+2.7.11.1
Os01g0138400	4325681	04714+2.7.11.1
Os01g0138400	4325681	05165+2.7.11.1
Os01g0138400	4325681	04926+2.7.11.1
Os01g0138400	4325681	04151+2.7.11.1
Os01g0138900		
Os01g0149900	4324515	
Os01g0151500		00480+2.3.2.2+3.4.19.13
Os01g0151500		00430+2.3.2.2
Os01g0151500		00460+2.3.2.2
Os01g0159300	4324061	
Os01g0159800	4324065	
Os01g0159800	4324065	
