gene	comparison		gene	baseMean	log2FoldChange	stat	pvalue	padj
TraesCS4A02G295100	comparisonSAvOA	282	TraesCS4A02G295100	48.58738249	1.588014113	4.617521752	3.88E-06	0.000459203
TraesCS4A02G295100	comparisonSAvSO	866	TraesCS4A02G295100	52.18783394	1.268162355	3.751900273	0.000175499	0.005867984
TraesCS4A02G295100	comparisonSOvOA							
TraesCS4A02G295300	comparisonCON	3977	TraesCS4A02G295300	182.446	2.590806	6.253475	4.01E-10	2.36E-08
TraesCS4A02G295300	comparisonSAvOA	283	TraesCS4A02G295300	185.0461576	2.036239084	5.215797237	1.83E-07	2.99E-05
TraesCS4A02G295300	comparisonSAvSO	867	TraesCS4A02G295300	189.8661424	2.04028794	5.618032858	1.93E-08	1.76E-06
TraesCS4A02G295300	comparisonSOvOA							
TraesCS4A02G451500LC	comparisonCON	4055	TraesCS4A02G451500LC	49.28416	3.0775	6.346026	2.21E-10	1.36E-08
TraesCS4A02G451500LC	comparisonSAvOA	313	TraesCS4A02G451500LC	54.04273994	1.836779045	4.80674733	1.53E-06	0.000206099
TraesCS4A02G451500LC	comparisonSAvSO	888	TraesCS4A02G451500LC	52.14186783	2.238262805	5.748742031	8.99E-09	8.76E-07
TraesCS4A02G451500LC	comparisonSOvOA							
TraesCS4A02G584900LC	comparisonCON	4075	TraesCS4A02G584900LC	131.5805	-0.8394153	-2.876466	0.004021554	0.03412361
TraesCS4A02G584900LC	comparisonSAvOA	360	TraesCS4A02G584900LC	52.84325246	2.316092251	6.24054676	4.36E-10	1.23E-07
TraesCS4A02G584900LC	comparisonSAvSO	898	TraesCS4A02G584900LC	67.44157354	1.056239743	3.480017277	0.000501381	0.01412273
TraesCS4A02G584900LC	comparisonSOvOA	/Users/rbadgami/Desktop/data2/read_count_data/DESeq2_isolate/LFC/table_LFCisanumber/LFC_F22_3dpi_SOvOA_RES_SOupreg.txt:1413	TraesCS4A02G584900LC	26.69734337	1.328363627	3.38400354	0.000714371	0.013939243
TraesCS4D02G208300	comparisonCON	4651	TraesCS4D02G208300	136.7033	2.282317	8.250358	1.58E-16	2.30E-14
TraesCS4D02G208300	comparisonSAvOA	393	TraesCS4D02G208300	180.9360637	0.736699488	3.442382528	0.000576614	0.031432678
TraesCS4D02G208300	comparisonSAvSO	979	TraesCS4D02G208300	162.0158996	1.192837937	5.023699876	5.07E-07	3.40E-05
TraesCS4D02G208300	comparisonSOvOA							
TraesCS5A02G332300	comparisonCON	5039	TraesCS5A02G332300	786.3176	1.011487	3.444725	0.000571642	0.007245048
TraesCS5A02G332300	comparisonSAvOA	416	TraesCS5A02G332300	773.1484948	1.033042004	3.992521248	6.54E-05	0.005271759
TraesCS5A02G332300	comparisonSAvSO	1012	TraesCS5A02G332300	695.9972526	1.54133603	5.490011779	4.02E-08	3.42E-06
TraesCS5A02G332300	comparisonSOvOA							
TraesCS5A02G497200	comparisonCON	5175	TraesCS5A02G497200	71.18044	-0.8639424	-2.884875	0.003915691	0.03345999
TraesCS5A02G497200	comparisonSAvOA	422	TraesCS5A02G497200	27.02883457	2.446671203	5.633467887	1.77E-08	3.61E-06
TraesCS5A02G497200	comparisonSAvSO	1044	TraesCS5A02G497200	26.98702731	2.670754123	6.097868575	1.07E-09	1.20E-07
TraesCS5A02G497200	comparisonSOvOA							
TraesCS5B02G535100	comparisonCON	5636	TraesCS5B02G535100	223.7958	1.078518	3.968645	7.23E-05	0.00128551
TraesCS5B02G535100	comparisonSAvOA	445	TraesCS5B02G535100	153.4392363	5.858689866	8.680948227	3.92E-18	3.87E-15
TraesCS5B02G535100	comparisonSAvSO	1132	TraesCS5B02G535100	153.4392363	6.187568171	8.762223146	1.91E-18	7.89E-16
TraesCS5B02G535100	comparisonSOvOA							
TraesCS5B02G535400	comparisonCON	5637	TraesCS5B02G535400	69.27519	1.623171	4.071615	4.67E-05	0.000885323
TraesCS5B02G535400	comparisonSAvOA	447	TraesCS5B02G535400	53.95741487	4.258037413	6.54737429	5.86E-11	1.88E-08
TraesCS5B02G535400	comparisonSAvSO	1134	TraesCS5B02G535400	54.03674555	4.54933923	6.656362995	2.81E-11	4.25E-09
TraesCS5B02G535400	comparisonSOvOA							
TraesCS5B02G561300	comparisonCON	5655	TraesCS5B02G561300	543.8781	-1.217535	-4.189485	2.80E-05	0.000567413
TraesCS5B02G561300	comparisonSAvOA	453	TraesCS5B02G561300	251.6226512	0.761074061	3.770200724	0.000163116	0.011283069
TraesCS5B02G561300	comparisonSAvSO	1145	TraesCS5B02G561300	247.8788272	0.823040464	3.936705295	8.26E-05	0.003081595
TraesCS5B02G561300	comparisonSOvOA							
TraesCS6A02G149700	comparisonCON	6279	TraesCS6A02G149700	84.75465	1.915435	5.32931	9.86E-08	3.70E-06
TraesCS6A02G149700	comparisonSAvOA	481	TraesCS6A02G149700	100.0812826	0.973966842	3.337754017	0.000844585	0.042326831
TraesCS6A02G149700	comparisonSAvSO	1229	TraesCS6A02G149700	97.80745498	1.076376023	3.441792472	0.000577873	0.015966558
TraesCS6A02G149700	comparisonSOvOA							
TraesCS6A02G418400	comparisonCON	6483	TraesCS6A02G418400	1580.619	-1.247112	-3.996801	6.42E-05	0.001161491
TraesCS6A02G418400	comparisonSAvOA	495	TraesCS6A02G418400	694.1858236	0.853798547	3.299252098	0.000969428	0.047136723
TraesCS6A02G418400	comparisonSAvSO	1241	TraesCS6A02G418400	629.6219067	1.281899592	4.739107056	2.15E-06	0.000122445
TraesCS6A02G418400	comparisonSOvOA							
TraesCS6B02G212600LC	comparisonCON	6600	TraesCS6B02G212600LC	25.08657	2.168469	4.375654	1.21E-05	0.000275916
TraesCS6B02G212600LC	comparisonSAvOA	546	TraesCS6B02G212600LC	24.97346716	1.853171528	4.635840263	3.55E-06	0.000425944
TraesCS6B02G212600LC	comparisonSAvSO	1311	TraesCS6B02G212600LC	25.11894655	1.879504795	4.45104264	8.55E-06	0.000420925
TraesCS6B02G212600LC	comparisonSOvOA							
TraesCS6B02G250000	comparisonCON	6630	TraesCS6B02G250000	779.0904	-1.621161	-6.515837	7.23E-11	4.89E-09
TraesCS6B02G250000	comparisonSAvOA	549	TraesCS6B02G250000	288.4722718	0.815930034	3.497460804	0.00046971	0.02654966
TraesCS6B02G250000	comparisonSAvSO	1322	TraesCS6B02G250000	283.5145821	0.890639959	3.655549158	0.000256632	0.00804328
TraesCS6B02G250000	comparisonSOvOA							
TraesCS6B02G408300	comparisonCON	6755	TraesCS6B02G408300	38.61933	1.076187	2.773709	0.005542123	0.04357262
TraesCS6B02G408300	comparisonSAvOA	560	TraesCS6B02G408300	32.60608077	1.557158696	3.846975827	0.000119585	0.008680865
TraesCS6B02G408300	comparisonSAvSO	1366	TraesCS6B02G408300	28.70128691	2.670345883	5.898763189	3.66E-09	3.81E-07
TraesCS6B02G408300	comparisonSOvOA							
TraesCS6B02G700800LC	comparisonCON	6804	TraesCS6B02G700800LC	36.99663	-1.334987	-2.903408	0.003691252	0.03198969
TraesCS6B02G700800LC	comparisonSAvOA	566	TraesCS6B02G700800LC	9.919746507	2.248151764	4.705070705	2.54E-06	0.000320049
TraesCS6B02G700800LC	comparisonSAvSO	1395	TraesCS6B02G700800LC	9.919746507	2.548888825	4.787814472	1.69E-06	9.91E-05
TraesCS6B02G700800LC	comparisonSOvOA							
