dpi	gene		gene2	baseMean	log2FoldChange	stat	pvalue	padj
7dpi	TraesCS1D02G042100	503	TraesCS1D02G042100	573.7234561	2.883914093	7.098366603	1.26E-12	7.28E-10
7dpi	TraesCS1D02G096300							
7dpi	TraesCS1D02G127600LC							
7dpi	TraesCS1D02G200000	580	TraesCS1D02G200000	934.4489431	2.118807214	4.316248121	1.59E-05	0.000904096
7dpi	TraesCS1D02G312800							
7dpi	TraesCS1D02G319200							
7dpi	TraesCS1D02G330600	682	TraesCS1D02G330600	310.2549026	0.974986882	2.892117213	0.003826552	0.046983545
7dpi	TraesCS2A02G004200							
7dpi	TraesCS2A02G009300							
7dpi	TraesCS2A02G031600							
7dpi	TraesCS2A02G094500							
7dpi	TraesCS2A02G105400							
7dpi	TraesCS2A02G144800							
7dpi	TraesCS2A02G192100							
7dpi	TraesCS2A02G199300							
7dpi	TraesCS2A02G247300							
7dpi	TraesCS2A02G324500							
7dpi	TraesCS2A02G448400							
7dpi	TraesCS2A02G467900							
7dpi	TraesCS2A02G469100							
7dpi	TraesCS2A02G490900	981	TraesCS2A02G490900	12.12970062	3.566403123	4.341942245	1.41E-05	0.000829488
7dpi	TraesCS2A02G514300LC							
7dpi	TraesCS2A02G522600							
7dpi	TraesCS2A02G562400	1008	TraesCS2A02G562400	164.4980589	1.431114331	4.844735955	1.27E-06	0.00012472
7dpi	TraesCS2A02G563100							
7dpi	TraesCS2A02G632500LC							
7dpi	TraesCS2B02G011400							
7dpi	TraesCS2B02G012400							
7dpi	TraesCS2B02G013000	1032	TraesCS2B02G013000	69.44445651	2.65018384	5.797349909	6.74E-09	1.63E-06
7dpi	TraesCS2B02G050600							
7dpi	TraesCS2B02G067100	1060	TraesCS2B02G067100	387.8411831	1.589553526	2.968729561	0.002990336	0.039700227
7dpi	TraesCS2B02G109700	1080	TraesCS2B02G109700	56.91243178	1.135776767	3.14061415	0.00168594	0.026922777
7dpi	TraesCS2B02G324300LC							
7dpi	TraesCS2B02G603000							
7dpi	TraesCS2B02G623400	1339	TraesCS2B02G623400	477.644493	1.564108759	3.470182886	0.000520104	0.011766418
7dpi	TraesCS2D02G009100	1352	TraesCS2D02G009100	40.58389893	1.530322122	3.792119425	0.000149367	0.004782083
7dpi	TraesCS2D02G010200							
7dpi	TraesCS2D02G027300							
7dpi	TraesCS2D02G027600							
7dpi	TraesCS2D02G032900							
7dpi	TraesCS2D02G035000							
7dpi	TraesCS2D02G079600							
7dpi	TraesCS2D02G139100							
7dpi	TraesCS2D02G525700							
7dpi	TraesCS2D02G571400							
7dpi	TraesCS3A02G001500							
7dpi	TraesCS3A02G021900							
7dpi	TraesCS3A02G204000							
7dpi	TraesCS3A02G303900	1817	TraesCS3A02G303900	77.22738256	1.220232363	3.278556723	0.001043394	0.019198172
7dpi	TraesCS3A02G386400							
7dpi	TraesCS3A02G434400							
7dpi	TraesCS3B02G018400							
7dpi	TraesCS3B02G018400LC							
7dpi	TraesCS3B02G024000	1952	TraesCS3B02G024000	33.00829364	2.309586532	4.685976856	2.79E-06	0.000235168
7dpi	TraesCS3B02G039600	1956	TraesCS3B02G039600	412.8281931	-1.053380196	-3.743102515	0.000181762	0.005495614
7dpi	TraesCS3B02G091400	1972	TraesCS3B02G091400	792.2288969	1.354497949	2.90701401	0.003648969	0.045484049
7dpi	TraesCS3B02G401000	2143	TraesCS3B02G401000	154.121295	1.079155167	3.802820053	0.000143058	0.004652669
7dpi	TraesCS3B02G470200							
7dpi	TraesCS3B02G530000							
