dpi	gene	isolate_cultivar	gene2	1dpi	3dpi	7dpi	11dpi	Cluster
7dpi	TraesCS5A02G308600	F22_SA	TraesCS5A02G308600	-1.721262234	0.735495633	0.565114187	0.420652414	C0:F22_SA
3dpi	TraesCS5A02G332300	F22_SA	TraesCS5A02G332300	-1.694899649	0.642060691	0.810002196	0.242836761	C0:F22_SA
7dpi	TraesCS5A02G332300	F22_SA	TraesCS5A02G332300	-1.694899649	0.642060691	0.810002196	0.242836761	C0:F22_SA
1dpi	TraesCS5A02G497200	F22_SA	TraesCS5A02G497200	1.669250711	-0.992154013	-0.339668225	-0.337428473	C6:F22_SA
3dpi	TraesCS5A02G497200	F22_SA	TraesCS5A02G497200	1.669250711	-0.992154013	-0.339668225	-0.337428473	C6:F22_SA
7dpi	TraesCS5A02G499300	F22_SA	TraesCS5A02G499300	1.706497729	-0.550619263	-0.3364269	-0.819451565	C6:F22_SA
1dpi	TraesCS5A02G736500LC	F22_SA	TraesCS5A02G736500LC	-1.176050443	1.588393484	-0.139470307	-0.272872734	C14:F22_SA
7dpi	TraesCS5A02G736500LC	F22_SA	TraesCS5A02G736500LC	-1.176050443	1.588393484	-0.139470307	-0.272872734	C14:F22_SA
7dpi	TraesCS5B02G164500LC	F22_SA	TraesCS5B02G164500LC	-1.626112735	1.100245102	0.203985937	0.321881695	C0:F22_SA
7dpi	TraesCS5B02G311400LC	F22_SA	TraesCS5B02G311400LC	-1.438429162	1.018027661	0.845091496	-0.424689995	C1:F22_SA
7dpi	TraesCS5B02G366900	F22_SA	TraesCS5B02G366900	-1.635315347	0.198209061	1.074797193	0.362309093	C0:F22_SA
7dpi	TraesCS5B02G516600	F22_SA	TraesCS5B02G516600	-1.649658422	0.909392355	0.668156278	0.072109789	C0:F22_SA
7dpi	TraesCS5B02G531900	F22_SA	TraesCS5B02G531900	-0.520931509	1.572217641	0.06772056	-1.119006692	C2:F22_SA
1dpi	TraesCS5B02G550300	F22_SA	TraesCS5B02G550300	-1.351814758	-0.49585819	0.592344503	1.255328445	C10:F22_SA
7dpi	TraesCS5D02G170700	F22_SA	TraesCS5D02G170700	1.726136377	-0.70981587	-0.517131107	-0.4991894	C6:F22_SA
7dpi	TraesCS5D02G452000	F22_SA	TraesCS5D02G452000	-1.697219206	0.758404828	0.6969845	0.241829879	C0:F22_SA
7dpi	TraesCS5D02G550900	F22_SA	TraesCS5D02G550900	-0.957846678	1.679731132	-0.376344852	-0.345539602	C14:F22_SA
7dpi	TraesCS6A02G001000	F22_SA	TraesCS6A02G001000	-1.634913709	0.997469528	0.064808557	0.572635624	C0:F22_SA
7dpi	TraesCS6A02G009200	F22_SA	TraesCS6A02G009200	-1.652998283	0.794855795	0.063286692	0.794855795	C0:F22_SA
7dpi	TraesCS6A02G011500LC	F22_SA	TraesCS6A02G011500LC	-1.635856209	0.231285779	1.079162055	0.325408374	C0:F22_SA
7dpi	TraesCS6A02G011600LC	F22_SA	TraesCS6A02G011600LC	-1.709461614	0.449050982	0.832414029	0.427996603	C0:F22_SA
7dpi	TraesCS6A02G015400	F22_SA	TraesCS6A02G015400	-1.672109247	0.220844006	0.951678184	0.499587057	C0:F22_SA
7dpi	TraesCS6A02G047500	F22_SA	TraesCS6A02G047500	-1.700292082	0.517463086	0.857587915	0.325241081	C0:F22_SA
7dpi	TraesCS6A02G063200	F22_SA	TraesCS6A02G063200	-1.681547982	0.868363168	0.616004704	0.197180109	C0:F22_SA
7dpi	TraesCS6A02G064600LC	F22_SA	TraesCS6A02G064600LC	-1.671773957	0.858638874	0.668595012	0.144540071	C0:F22_SA
3dpi	TraesCS6A02G149700	F22_SA	TraesCS6A02G149700	-0.429020559	-1.103633019	-0.077302876	1.609956454	C9:F22_SA
7dpi	TraesCS6A02G538600LC	F22_SA	TraesCS6A02G538600LC	-1.622978056	0.837166689	0.815010181	-0.029198814	C0:F22_SA
7dpi	TraesCS6B02G045100	F22_SA	TraesCS6B02G045100	-1.630244785	1.001881573	0.579808311	0.048554902	C0:F22_SA
1dpi	TraesCS6B02G071500	F22_SA	TraesCS6B02G071500	1.643532413	-0.038726613	-0.871687197	-0.733118603	C6:F22_SA
7dpi	TraesCS6B02G071600	F22_SA	TraesCS6B02G071600	-1.569439365	0.977385628	0.746756055	-0.154702319	C0:F22_SA
1dpi	TraesCS6B02G072400	F22_SA	TraesCS6B02G072400LC	1.606960865	0.048854173	-0.97695169	-0.678863348	NA:F22_SA
1dpi	TraesCS6B02G125600	F22_SA	TraesCS6B02G125600	1.188528597	-1.5829524	0.153186869	0.241236934	C8:F22_SA
