gene	comparison		gene	baseMean	log2FoldChange	stat	pvalue	padj						
TraesCS3B02G152200	comparisonCON	4810	TraesCS3B02G152200	1029.25	0.8846303	2.859045	0.004249188	0.02705927						
TraesCS3B02G152200	comparisonSAvOA	1656	TraesCS3B02G152200	958.6746135	-1.190240128	-4.594975926	4.33E-06	0.000111992						
TraesCS3B02G152200	comparisonSAvSO													
TraesCS3B02G152200	comparisonSOvOA	889	TraesCS3B02G152200	1631.72771	-0.804128555	-4.060656418	4.89E-05	0.001397357						
TraesCS3B02G306400	comparisonCON	5004	TraesCS3B02G306400	31.92733	1.679649	3.239619	0.001196894	0.009589789						
TraesCS3B02G306400	comparisonSAvOA	1724	TraesCS3B02G306400	29.04238515	-2.199604601	-4.060664535	4.89E-05	0.000882706						
TraesCS3B02G306400	comparisonSAvSO													
TraesCS3B02G306400	comparisonSOvOA	921	TraesCS3B02G306400	57.43711898	-1.379188365	-4.976539163	6.47E-07	3.08E-05						
TraesCS3B02G336700	comparisonCON	5050	TraesCS3B02G336700	199.8742	0.7436511	2.631658	0.008496943	0.04671304						
TraesCS3B02G336700	comparisonSAvOA	1737	TraesCS3B02G336700	198.0591273	-0.779878234	-3.1872443	0.001436354	0.014120652						
TraesCS3B02G336700	comparisonSAvSO													
TraesCS3B02G336700	comparisonSOvOA	939	TraesCS3B02G336700	107.0270865	-0.779514797	-3.251754075	0.001146952	0.020686354						
TraesCS3D02G022200	comparisonCON	5377	TraesCS3D02G022200	45.32436	1.37606	3.263743	0.001099507	0.008923604						
TraesCS3D02G022200	comparisonSAvOA	1840	TraesCS3D02G022200	44.36651035	-1.495874603	-3.970140758	7.18E-05	0.001220692						
TraesCS3D02G022200	comparisonSAvSO													
TraesCS3D02G022200	comparisonSOvOA	1081	TraesCS3D02G022200	14.35457494	-2.028062727	-4.061648173	4.87E-05	0.001392702						
TraesCS3D02G192800	comparisonCON	5580	TraesCS3D02G192800	224.0086	0.7737659	2.769155	0.005620181	0.0338537						
TraesCS3D02G192800	comparisonSAvOA	1902	TraesCS3D02G192800	203.2689974	-1.180046767	-4.606394802	4.10E-06	0.000106897						
TraesCS3D02G192800	comparisonSAvSO	/Users/rbadgami/Desktop/data2/read_count_data/DESeq2_isolate/LFC/table_LFCisanumber/LFC_F22_7dpi_SAvSO_SUS_SOupreg.txt:773	TraesCS3D02G192800	170.6721856	-0.337123469	-3.3282307	0.000873995	0.022655788						
TraesCS3D02G192800	comparisonSOvOA	1108	TraesCS3D02G192800	169.9069745	-0.688886386	3.894573413	9.84E-05	0.002552309						
TraesCS3D02G312000	comparisonCON	5770	TraesCS3D02G312000	52.74637	2.474681	5.10225	3.36E-07	8.03E-06	5771					
TraesCS3D02G312000	comparisonSAvOA	1956	TraesCS3D02G312000	64.68307287	-1.215518248	-3.892698328	9.91E-05	0.001603068						
TraesCS3D02G312000	comparisonSAvSO													
TraesCS3D02G312000	comparisonSOvOA	1129	TraesCS3D02G312000LC	39.02228796	-0.413844744	-4.042566371	5.29E-05	0.00149452						
TraesCS3D02G344500	comparisonCON	5821	TraesCS3D02G344500	8.021356	4.163795	4.243014	2.21E-05	0.000318417						
TraesCS3D02G344500	comparisonSAvOA	1972	TraesCS3D02G344500	9.166745833	-2.006946787	-2.919663948	0.00350409	0.028542607						
TraesCS3D02G344500	comparisonSAvSO													
TraesCS3D02G344500	comparisonSOvOA	1135	TraesCS3D02G344500	9.561229044	-0.054113562	3.484223307	0.000493567	0.010178503						
TraesCS3D02G356300	comparisonCON	5839	TraesCS3D02G356300	293.2353	0.9334731	3.177608	0.001484952	0.01149498						
TraesCS3D02G356300	comparisonSAvOA	1979	TraesCS3D02G356300	300.4493102	-0.837680134	-3.474333011	0.000512125	0.006172596						
TraesCS3D02G356300	comparisonSAvSO													
TraesCS3D02G356300	comparisonSOvOA	1137	TraesCS3D02G356300	264.3971502	-0.518440328	-3.393048558	0.000691194	0.013560318						
TraesCS3D02G412300	comparisonCON	5918	TraesCS3D02G412300	2236.295	2.617706	3.553845	0.000379643	0.003677617						
TraesCS3D02G412300	comparisonSAvOA	1997	TraesCS3D02G412300	2549.270709	-1.857484191	-9.269863139	1.86E-20	1.38E-17						
TraesCS3D02G412300	comparisonSAvSO													
TraesCS3D02G412300	comparisonSOvOA	1143	TraesCS3D02G412300	545.7913627	-0.32449859	-3.372121589	0.000745915	0.014454275						
TraesCS3D02G438600	comparisonCON	5964	TraesCS3D02G438600	32.86679	2.664266	3.769378	0.000163655	0.001793448						
TraesCS3D02G438600	comparisonSAvOA	2008	TraesCS3D02G438600	35.59396632	-2.029608326	-3.958497512	7.54E-05	0.001274563						
TraesCS3D02G438600	comparisonSAvSO													
TraesCS3D02G438600	comparisonSOvOA	1151	TraesCS3D02G438600	73.59498676	-0.930011045	-4.548309	5.41E-06	0.000204514						
TraesCS3D02G438700	comparisonCON	5965	TraesCS3D02G438700	18.28013	3.27945	4.547425	5.43E-06	9.35E-05						
TraesCS3D02G438700	comparisonSAvOA	2009	TraesCS3D02G438700	18.47136814	-2.717828606	-3.988564912	6.65E-05	0.001144435						
TraesCS3D02G438700	comparisonSAvSO													
TraesCS3D02G438700	comparisonSOvOA	1152	TraesCS3D02G438700	34.53091246	-1.945086937	-4.071851708	4.66E-05	0.001347606						
TraesCS3D02G451400	comparisonCON	5983	TraesCS3D02G451400	71.9767	-3.815052	-8.818686	1.16E-18	2.06E-16						
TraesCS3D02G451400	comparisonSAvOA	2016	TraesCS3D02G451400	4.309958825	-2.286480393	-2.841657839	0.004487963	0.034676286						
TraesCS3D02G451400	comparisonSAvSO													
TraesCS3D02G451400	comparisonSOvOA	1153	TraesCS3D02G451400	38.74541204	-0.598553825	-3.651000849	0.00026122	0.005937945						
TraesCS3D02G493700	comparisonCON	6019	TraesCS3D02G493700	224.5669	1.273481	2.785678	0.005341585	0.0324987						
TraesCS3D02G493700	comparisonSAvOA	2025	TraesCS3D02G493700	226.5216723	-1.26619119	-4.373855353	1.22E-05	0.000271761						
TraesCS3D02G493700	comparisonSAvSO													
TraesCS3D02G493700	comparisonSOvOA	1160	TraesCS3D02G493700	399.0007409	-0.143386288	-8.363153367	6.11E-17	1.34E-14						
TraesCS4A02G031600	comparisonCON	6121	TraesCS4A02G031600	1595.614	1.027428	3.645688	0.000266677	0.002726431						
TraesCS4A02G031600	comparisonSAvOA	2056	TraesCS4A02G031600	1630.525253	-0.932039541	-3.811664431	0.000138034	0.002105217						
TraesCS4A02G031600	comparisonSAvSO													
TraesCS4A02G031600	comparisonSOvOA	1174	TraesCS4A02G031600	766.4904358	-0.420864332	-2.937939146	0.003304019	0.048358761						
TraesCS4A02G097900	comparisonCON	6206	TraesCS4A02G097900	1645.107	-1.770353	-3.482116	0.000497468	0.004591444						
TraesCS4A02G097900	comparisonSAvOA	2079	TraesCS4A02G097900	465.3660938	-1.466876739	-4.112257775	3.92E-05	0.000731276						
TraesCS4A02G097900	comparisonSAvSO													
TraesCS4A02G097900	comparisonSOvOA	1187	TraesCS4A02G097900	204.6329299	-0.929992085	-3.699696098	0.000215858	0.005036704						
TraesCS4A02G104300	comparisonCON	6216	TraesCS4A02G104300	58.5038	2.649538	4.329217	1.50E-05	0.000225971						
TraesCS4A02G104300	comparisonSAvOA	2081	TraesCS4A02G104300	57.41067326	-2.864831927	-5.607768832	2.05E-08	1.12E-06						
TraesCS4A02G104300	comparisonSAvSO													
TraesCS4A02G104300	comparisonSOvOA	1189	TraesCS4A02G104300	40.62226873	-1.938763879	-3.996622925	6.43E-05	0.001770729						
TraesCS4A02G130300	comparisonCON	6256	TraesCS4A02G130300	112.8229	1.851929	4.73165	2.23E-06	4.31E-05						
TraesCS4A02G130300	comparisonSAvOA	2102	TraesCS4A02G130300	133.9144613	-0.968405769	-2.986286566	0.002823879	0.024179984						
TraesCS4A02G130300	comparisonSAvSO													
TraesCS4A02G130300	comparisonSOvOA	1197	TraesCS4A02G130300	88.56275419	-0.659713181	-3.630543096	0.000282825	0.006345321						
TraesCS4A02G187300	comparisonCON	6311	TraesCS4A02G187300	333.648	0.7733739	2.809162	0.004967062	0.03065354						
TraesCS4A02G187300	comparisonSAvOA	2133	TraesCS4A02G187300	340.5620551	-0.696286056	-2.976299285	0.0029175	0.024772544						
TraesCS4A02G187300	comparisonSAvSO													
TraesCS4A02G187300	comparisonSOvOA	1199	TraesCS4A02G187300	284.7382811	-0.323791446	-3.240803563	0.001191933	0.021340189						
TraesCS4A02G357200	comparisonCON	6504	TraesCS4A02G357200	374.3389	1.73536	5.607442	2.05E-08	6.59E-07						
TraesCS4A02G357200	comparisonSAvOA	2195	TraesCS4A02G357200	432.8172931	-1.008092525	-4.959038199	7.08E-07	2.38E-05						
TraesCS4A02G357200	comparisonSAvSO	/Users/rbadgami/Desktop/data2/read_count_data/DESeq2_isolate/LFC/table_LFCisanumber/LFC_F22_7dpi_SAvSO_SUS_SOupreg.txt:821	TraesCS4A02G357200	104.4712	-0.269974771	3.727325146	0.000193523	0.006350627						
TraesCS4A02G357200	comparisonSOvOA	1222	TraesCS4A02G357200	109.4839577	-0.717073397	-4.479462339	7.48E-06	0.000272263						
TraesCS4A02G435200	comparisonCON	6573	TraesCS4A02G435200	233.9445	-0.9891927	-3.159871	0.00157839	0.01209212						
TraesCS4A02G435200	comparisonSAvOA	2234	TraesCS4A02G435200	79.60575568	-4.534580424	-9.154274385	5.47E-20	3.72E-17						
TraesCS4A02G435200	comparisonSAvSO													
TraesCS4A02G435200	comparisonSOvOA	1240	TraesCS4A02G435200	62.21430099	-3.755015501	-8.909724948	5.12E-19	1.36E-16						
TraesCS4A02G447300	comparisonCON	6583	TraesCS4A02G447300	25.45265	3.288442	5.548112	2.89E-08	8.91E-07						
TraesCS4A02G447300	comparisonSAvOA	2244	TraesCS4A02G447300	26.72805272	-2.481672129	-4.572039364	4.83E-06	0.000122983						
TraesCS4A02G447300	comparisonSAvSO													
TraesCS4A02G447300	comparisonSOvOA	1246	TraesCS4A02G447300	18.18214742	-4.138575237	-5.88391743	4.01E-09	2.97E-07						
TraesCS4A02G455100LC	comparisonCON	6588	TraesCS4A02G455100LC	1932.962	-0.6463704	-2.815362	0.004872232	0.03017845						
TraesCS4A02G455100LC	comparisonSAvOA	2248	TraesCS4A02G455100LC	1153.784281	-0.876375278	-3.759347015	0.000170357	0.002503012						
TraesCS4A02G455100LC	comparisonSAvSO													
TraesCS4A02G455100LC	comparisonSOvOA	1249	TraesCS4A02G455100LC	1239.423283	-0.398852275	-3.734411789	0.000188154	0.004467312						
TraesCS4A02G654900LC	comparisonCON	6612	TraesCS4A02G654900LC	51.54892	0.9551592	2.871066	0.004090901	0.02623972						
TraesCS4A02G654900LC	comparisonSAvOA	2270	TraesCS4A02G654900LC	44.64042168	-1.601583682	-4.214119418	2.51E-05	0.000501529						
TraesCS4A02G654900LC	comparisonSAvSO													
TraesCS4A02G654900LC	comparisonSOvOA	1269	TraesCS4A02G654900LC	33.67933327	-1.425964404	-4.078083938	4.54E-05	0.001320554						
TraesCS4A02G664100LC	comparisonCON	6613	TraesCS4A02G664100LC	10.85196	2.971912	3.492456	0.0004786	0.004443244						
TraesCS4A02G664100LC	comparisonSAvOA	2271	TraesCS4A02G664100LC	10.13137668	-3.364913384	-4.342728175	1.41E-05	0.000306677						
TraesCS4A02G664100LC	comparisonSAvSO													
TraesCS4A02G664100LC	comparisonSOvOA	1270	TraesCS4A02G664100LC	8.272015769	-2.136846747	-3.122397661	0.001793845	0.029866015						
TraesCS4A02G666700LC	comparisonCON	6615	TraesCS4A02G666700LC	8.882003	4.226507	4.412319	1.02E-05	0.000162502						
TraesCS4A02G666700LC	comparisonSAvOA	2274	TraesCS4A02G666700LC	8.714522704	-3.656952702	-4.65110915	3.30E-06	8.87E-05						
TraesCS4A02G666700LC	comparisonSAvSO													
TraesCS4A02G666700LC	comparisonSOvOA	1271	TraesCS4A02G666700LC	3.74978016	-3.013723487	-3.294251469	0.000986842	0.018281538						
TraesCS4B02G059300	comparisonCON	6708	TraesCS4B02G059300	455.4066	2.651097	7.216074	5.35E-13	4.25E-11						
TraesCS4B02G059300	comparisonSAvOA	2303	TraesCS4B02G059300	516.4528904	-1.622469262	-4.375806772	1.21E-05	0.000269978						
TraesCS4B02G059300	comparisonSAvSO													
TraesCS4B02G059300	comparisonSOvOA	1296	TraesCS4B02G059300	801.3680467	-1.03518888	-4.103554523	4.07E-05	0.001205349						
TraesCS4B02G062500	comparisonCON	6714	TraesCS4B02G062500	2059.709	2.199719	7.847167	4.26E-15	4.75E-13						
TraesCS4B02G062500	comparisonSAvOA	2305	TraesCS4B02G062500	2508.972286	-1.049507046	-4.477989	7.53E-06	0.000180482						
TraesCS4B02G062500	comparisonSAvSO													
TraesCS4B02G062500	comparisonSOvOA	1299	TraesCS4B02G062500	875.5327271	-0.64332043	-3.75010546	0.00017676	0.00422991						
TraesCS4B02G205300	comparisonCON	6918	TraesCS4B02G205300	266.0257	-2.503572	-7.156585	8.27E-13	6.39E-11						
TraesCS4B02G205300	comparisonSAvOA	2376	TraesCS4B02G205300	51.74706154	-1.348102389	-3.272021761	0.001067814	0.011135492						
TraesCS4B02G205300	comparisonSAvSO													
TraesCS4B02G205300	comparisonSOvOA	1337	TraesCS4B02G205300	321.483799	-0.602374086	-4.89673695	9.74E-07	4.42E-05						
TraesCS4B02G237200LC	comparisonCON	6967	TraesCS4B02G237200LC	52.17488	2.08668	4.638687	3.51E-06	6.42E-05						
TraesCS4B02G237200LC	comparisonSAvOA	2386	TraesCS4B02G237200LC	51.99471915	-1.897767062	-3.43529223	0.000591915	0.006955303						
TraesCS4B02G237200LC	comparisonSAvSO													
TraesCS4B02G237200LC	comparisonSOvOA	1340	TraesCS4B02G237200LC	32.07904124	-0.8990525	-4.225773417	2.38E-05	0.00075762						
TraesCS4B02G311100	comparisonCON	7066	TraesCS4B02G311100	1558.723	0.7874434	2.860286	0.004232589	0.02697483						
TraesCS4B02G311100	comparisonSAvOA	2413	TraesCS4B02G311100	1447.82367	-1.100791452	-5.749581042	8.95E-09	5.38E-07						
TraesCS4B02G311100	comparisonSAvSO													
TraesCS4B02G311100	comparisonSOvOA	1360	TraesCS4B02G311100	720.3677598	-0.730327471	-5.926522776	3.09E-09	2.34E-07						
TraesCS4B02G382100	comparisonCON	7146	TraesCS4B02G382100	16.85895	2.970876	4.498167	6.85E-06	0.000114622						
TraesCS4B02G382100	comparisonSAvOA	2430	TraesCS4B02G382100	15.47516209	-4.404410839	-5.525328615	3.29E-08	1.69E-06						
TraesCS4B02G382100	comparisonSAvSO													
TraesCS4B02G382100	comparisonSOvOA	1372	TraesCS4B02G382100	24.51981654	-3.773483609	-4.386222474	1.15E-05	0.000398586						
TraesCS4B02G591700LC	comparisonCON	7181	TraesCS4B02G591700LC	14.70185	2.540122	3.58744	0.00033394	0.003304455						
TraesCS4B02G591700LC	comparisonSAvOA	2440	TraesCS4B02G591700LC	13.15807396	-4.204636744	-5.294917831	1.19E-07	5.09E-06						
TraesCS4B02G591700LC	comparisonSAvSO													
TraesCS4B02G591700LC	comparisonSOvOA	1380	TraesCS4B02G591700LC	13.65639467	-3.574094523	-5.124675151	2.98E-07	1.51E-05						
TraesCS4D02G026800	comparisonCON	7223	TraesCS4D02G026800LC	313.5429	-0.9154962	-3.912584	9.13E-05	0.001090073						
TraesCS4D02G026800	comparisonSAvOA	2454	TraesCS4D02G026800	652.3553142	-0.750779524	-3.307786474	0.000940365	0.01007908						
TraesCS4D02G026800	comparisonSAvSO													
TraesCS4D02G026800	comparisonSOvOA	1385	TraesCS4D02G026800	447.7476587	-0.613225335	-6.919487886	4.53E-12	5.35E-10						
TraesCS4D02G035200	comparisonCON	7231	TraesCS4D02G035200	574.641	-1.911157	-7.241044	4.45E-13	3.60E-11						
TraesCS4D02G035200	comparisonSAvOA	2459	TraesCS4D02G035200	166.543465	-1.241029798	-3.988590901	6.65E-05	0.001144435						
TraesCS4D02G035200	comparisonSAvSO													
TraesCS4D02G035200	comparisonSOvOA	1391	TraesCS4D02G035200	94.94927291	-0.69368796	-4.544721309	5.50E-06	0.000207407						
TraesCS4D02G134900	comparisonCON	7373	TraesCS4D02G134900	158.7906	3.780292	11.30634	1.22E-29	6.43E-27						
TraesCS4D02G134900	comparisonSAvOA	2494	TraesCS4D02G134900	185.488611	-1.910789614	-5.232974575	1.67E-07	6.84E-06						
TraesCS4D02G134900	comparisonSAvSO													
TraesCS4D02G134900	comparisonSOvOA	1400	TraesCS4D02G134900	161.8649115	-0.79515779	-5.59725286	2.18E-08	1.42E-06						
TraesCS4D02G186700	comparisonCON	7440	TraesCS4D02G186700	82.38997	1.618427	3.225937	0.00125561	0.009986511						
TraesCS4D02G186700	comparisonSAvOA	2525	TraesCS4D02G186700	82.14550528	-1.707820958	-5.517968825	3.43E-08	1.75E-06						
TraesCS4D02G186700	comparisonSAvSO													
TraesCS4D02G186700	comparisonSOvOA	1402	TraesCS4D02G186700	76.11113642	-1.352091767	-5.888791536	3.89E-09	2.89E-07						
TraesCS4D02G200700	comparisonCON	7473	TraesCS4D02G200700	28.32144	2.704272	3.811424	0.000138168	0.001551082						
TraesCS4D02G200700	comparisonSAvOA	2535	TraesCS4D02G200700	26.28643272	-3.67937313	-4.974200329	6.55E-07	2.23E-05						
TraesCS4D02G200700	comparisonSAvSO													
TraesCS4D02G200700	comparisonSOvOA	1404	TraesCS4D02G200700	8.462951481	-1.596919498	-3.088322192	0.002012901	0.032624409						
TraesCS4D02G263500	comparisonCON	7558	TraesCS4D02G263500	305.508	-1.118681	-2.804242	0.005043508	0.03103051						
TraesCS4D02G263500	comparisonSAvOA	2557	TraesCS4D02G263500	130.4018093	-1.259911361	-2.894957963	0.003792093	0.030370175						
TraesCS4D02G263500	comparisonSAvSO													
TraesCS4D02G263500	comparisonSOvOA	1414	TraesCS4D02G263500	203.8429725	-0.138230456	3.007982731	0.002629881	0.040329983						
TraesCS4D02G273200	comparisonCON	7570	TraesCS4D02G273200	1593.45	1.124045	4.422923	9.74E-06	0.000155369						
TraesCS4D02G273200	comparisonSAvOA	2560	TraesCS4D02G273200	1689.578179	-0.876402538	-4.772112606	1.82E-06	5.34E-05						
TraesCS4D02G273200	comparisonSAvSO													
TraesCS4D02G273200	comparisonSOvOA	1416	TraesCS4D02G273200	830.3536274	-0.314268052	-3.507083318	0.000453047	0.009490076						
TraesCS5A02G003600	comparisonCON	7709	TraesCS5A02G003600	52.58763	4.940808	7.809175	5.76E-15	6.30E-13						
TraesCS5A02G003600	comparisonSAvOA	2603	TraesCS5A02G003600	56.47835696	-2.977566651	-5.850492081	4.90E-09	3.19E-07						
TraesCS5A02G003600	comparisonSAvSO													
TraesCS5A02G003600	comparisonSOvOA	1426	TraesCS5A02G003600	39.68309183	-2.23773964	-6.576784538	4.81E-11	4.94E-09						
TraesCS5A02G065500	comparisonCON	7791	TraesCS5A02G065500	40.59472	3.300381	5.400897	6.63E-08	1.88E-06						
TraesCS5A02G065500	comparisonSAvOA	2627	TraesCS5A02G065500	52.78566851	-1.2446866	-3.0241894	0.002493003	0.021891221						
TraesCS5A02G065500	comparisonSAvSO													
TraesCS5A02G065500	comparisonSOvOA	1431	TraesCS5A02G065500	20.38148131	-0.317687654	-3.053666889	0.002260629	0.035660482						
TraesCS5A02G217300	comparisonCON	7999	TraesCS5A02G217300	880.0167	-0.8404316	-3.414327	0.000639398	0.005658627						
TraesCS5A02G217300	comparisonSAvOA	2693	TraesCS5A02G217300	453.2397665	-1.141599517	-5.307909259	1.11E-07	4.78E-06						
TraesCS5A02G217300	comparisonSAvSO													
TraesCS5A02G217300	comparisonSOvOA	1443	TraesCS5A02G217300	370.2757727	-0.724482981	-4.186918672	2.83E-05	0.000880085						
TraesCS5A02G253800	comparisonCON	8048	TraesCS5A02G253800	439.957	2.445139	4.911002	9.06E-07	1.95E-05						
TraesCS5A02G253800	comparisonSAvOA	2705	TraesCS5A02G253800	493.6534579	-1.692076748	-8.578359507	9.62E-18	4.32E-15						
TraesCS5A02G253800	comparisonSAvSO													
TraesCS5A02G253800	comparisonSOvOA	1451	TraesCS5A02G253800	77.75486467	-0.909633963	-3.851313687	0.000117486	0.002991602						
TraesCS5A02G321300	comparisonCON	8116	TraesCS5A02G321300	2045.727	1.693665	3.672527	0.000240164	0.002493581						
TraesCS5A02G321300	comparisonSAvOA	2732	TraesCS5A02G321300	1989.450125	-1.926763605	-7.271353118	3.56E-13	6.58E-11						
TraesCS5A02G321300	comparisonSAvSO													
TraesCS5A02G321300	comparisonSOvOA	1463	TraesCS5A02G321300	456.6763313	-0.737815601	-3.907130239	9.34E-05	0.002442348						
TraesCS5A02G375000	comparisonCON	8166	TraesCS5A02G375000	236.493	1.30106	4.201193	2.66E-05	0.000373705						
TraesCS5A02G375000	comparisonSAvOA	2747	TraesCS5A02G375000	231.2645343	-1.400556304	-4.751435285	2.02E-06	5.81E-05						
TraesCS5A02G375000	comparisonSAvSO													
TraesCS5A02G375000	comparisonSOvOA	1469	TraesCS5A02G375000	73.87755786	-0.835112858	-3.479677744	0.000502017	0.010316324						
TraesCS5A02G479300	comparisonCON	8301	TraesCS5A02G479300	5989.725	1.206558	5.58516	2.33E-08	7.37E-07						
TraesCS5A02G479300	comparisonSAvOA	2798	TraesCS5A02G479300	6237.941032	-1.01587504	-4.887110846	1.02E-06	3.25E-05						
TraesCS5A02G479300	comparisonSAvSO													
TraesCS5A02G479300	comparisonSOvOA	1483	TraesCS5A02G479300	4747.315419	-0.521059569	-5.918153225	3.26E-09	2.46E-07						
TraesCS5A02G533400	comparisonCON	8376	TraesCS5A02G533400	12.97615	2.472093	3.746442	0.000179361	0.001943013						
TraesCS5A02G533400	comparisonSAvOA	2827	TraesCS5A02G533400	11.88339136	-3.128334301	-4.107934883	3.99E-05	0.000742156						
TraesCS5A02G533400	comparisonSAvSO													
TraesCS5A02G533400	comparisonSOvOA	1495	TraesCS5A02G533400	12.38485996	-3.374524825	-4.370875006	1.24E-05	0.00042208						
TraesCS5A02G533500	comparisonCON	8377	TraesCS5A02G533500	369.6277	1.585181	5.12264	3.01E-07	7.30E-06						
TraesCS5A02G533500	comparisonSAvOA	2828	TraesCS5A02G533500	337.3806044	-2.137113476	-6.166699616	6.97E-10	5.80E-08						
TraesCS5A02G533500	comparisonSAvSO	/Users/rbadgami/Desktop/data2/read_count_data/DESeq2_isolate/LFC/table_LFCisanumber/LFC_F22_7dpi_SAvSO_SUS_SOupreg.txt:977	TraesCS5A02G533500	208.9428806	-0.718563023	4.430684773	9.39E-06	0.000458339						
TraesCS5A02G533500	comparisonSOvOA	1496	TraesCS5A02G533500	278.9386716	-1.421301588	-9.205754527	3.39E-20	1.01E-17						
TraesCS5A02G703200LC	comparisonCON	8421	TraesCS5A02G703200LC	22.12837	-1.229759	-2.719557	0.006536934	0.03809466						
TraesCS5A02G703200LC	comparisonSAvOA	2851	TraesCS5A02G703200LC	6.415388931	-3.280808455	-4.201340346	2.65E-05	0.000527343						
TraesCS5A02G703200LC	comparisonSAvSO													
TraesCS5A02G703200LC	comparisonSOvOA	1507	TraesCS5A02G703200LC	13.81228834	-2.65056253	-4.453953879	8.43E-06	0.000303088						
TraesCS5A02G708900LC	comparisonCON	8422	TraesCS5A02G708900LC	37.04675	2.944117	5.131368	2.88E-07	6.99E-06						
TraesCS5A02G708900LC	comparisonSAvOA	2852	TraesCS5A02G708900LC	48.31062931	-1.13277795	-3.01913365	0.002534987	0.022184959						
TraesCS5A02G708900LC	comparisonSAvSO													
TraesCS5A02G708900LC	comparisonSOvOA	1508	TraesCS5A02G708900LC	41.00321364	-1.234776544	-3.498695863	0.00046754	0.009731783						
TraesCS5B02G042800	comparisonCON	8460	TraesCS5B02G042800	70.1179	2.607564	4.841974	1.29E-06	2.65E-05						
TraesCS5B02G042800	comparisonSAvOA	2867	TraesCS5B02G042800	80.94749755	-1.547246037	-3.685637463	0.000228131	0.00318492						
TraesCS5B02G042800	comparisonSAvSO													
TraesCS5B02G042800	comparisonSOvOA	1524	TraesCS5B02G042800	19.56778803	-2.503057819	-3.699841972	0.000215734	0.00503536						
TraesCS5B02G142500	comparisonCON	8576	TraesCS5B02G142500	251.6671	2.40945	8.259831	1.46E-16	2.02E-14						
TraesCS5B02G142500	comparisonSAvOA	2896	TraesCS5B02G142500	304.8213151	-1.194670093	-5.647398986	1.63E-08	9.19E-07						
TraesCS5B02G142500	comparisonSAvSO													
TraesCS5B02G142500	comparisonSOvOA	1542	TraesCS5B02G142500	242.2328333	-0.651186854	-3.252955895	0.001142112	0.020638355						
TraesCS5B02G145900	comparisonCON	8580	TraesCS5B02G145900	3115.081	0.8147198	2.674419	0.007485881	0.04237162						
TraesCS5B02G145900	comparisonSAvOA	2897	TraesCS5B02G145900	2807.831027	-1.277984036	-6.58186548	4.65E-11	5.28E-09						
TraesCS5B02G145900	comparisonSAvSO													
TraesCS5B02G145900	comparisonSOvOA	1543	TraesCS5B02G145900	1811.117222	-0.349475348	-6.459242975	1.05E-10	1.02E-08						
TraesCS5B02G197300	comparisonCON	8648	TraesCS5B02G197300	775.0716	1.720752	4.744729	2.09E-06	4.08E-05						
TraesCS5B02G197300	comparisonSAvOA	2920	TraesCS5B02G197300	966.1844759	-0.703852918	-3.277392856	0.001047705	0.010973759						
TraesCS5B02G197300	comparisonSAvSO													
TraesCS5B02G197300	comparisonSOvOA	1548	TraesCS5B02G197300	509.542654	-0.449159505	-2.939526608	0.00328714	0.048186173						
TraesCS5B02G224900	comparisonCON	8704	TraesCS5B02G224900	164.2417	3.210223	5.788714	7.09E-09	2.56E-07						
TraesCS5B02G224900	comparisonSAvOA	2933	TraesCS5B02G224900	180.3454041	-2.286572003	-7.652866608	1.97E-14	4.68E-12						
TraesCS5B02G224900	comparisonSAvSO													
TraesCS5B02G224900	comparisonSOvOA	1552	TraesCS5B02G224900	66.83009429	-2.160666606	-4.759691541	1.94E-06	8.21E-05						
TraesCS5B02G252700	comparisonCON	8740	TraesCS5B02G252700	353.1227	3.247832	8.56099	1.12E-17	1.81E-15						
TraesCS5B02G252700	comparisonSAvOA	2944	TraesCS5B02G252700	412.5964642	-1.786168786	-6.897847502	5.28E-12	7.61E-10						
TraesCS5B02G252700	comparisonSAvSO													
TraesCS5B02G252700	comparisonSOvOA	1558	TraesCS5B02G252700	95.71223566	-0.986431963	-3.827776228	0.000129306	0.003247095						
TraesCS5B02G376900	comparisonCON	8861	TraesCS5B02G376900	291.8112	1.01577	3.426242	0.000611994	0.005451934						
TraesCS5B02G376900	comparisonSAvOA	2978	TraesCS5B02G376900	298.9158106	-0.913325703	-3.546176784	0.000390864	0.004955498						
TraesCS5B02G376900	comparisonSAvSO													
TraesCS5B02G376900	comparisonSOvOA	1573	TraesCS5B02G376900	95.77579741	-0.753243816	-3.136633475	0.001708996	0.028731078						
TraesCS5B02G394200	comparisonCON	8877	TraesCS5B02G394200	177.2406	1.625553	3.167109	0.001539626	0.01184758						
TraesCS5B02G394200	comparisonSAvOA	2985	TraesCS5B02G394200	182.9210522	-1.417070189	-3.097935361	0.001948739	0.018005243						
TraesCS5B02G394200	comparisonSAvSO	/Users/rbadgami/Desktop/data2/read_count_data/DESeq2_isolate/LFC/table_LFCisanumber/LFC_F22_7dpi_SAvSO_SUS_SOupreg.txt:1035	TraesCS5B02G394200	32.21176586	-0.392133723	3.296123697	0.000980288	0.024973949						
TraesCS5B02G394200	comparisonSOvOA	1575	TraesCS5B02G394200	39.54855317	-0.966189767	-4.485296557	7.28E-06	0.000265633						
TraesCS5B02G428400	comparisonCON	8936	TraesCS5B02G428400	339.3889	-1.609089	-4.356972	1.32E-05	0.000202464						
